City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
224,Pringsewu,ID,2021-06-01 06:52:44,-5.3582,104.9744,83.28,80,97,4.0
225,Kodiak,US,2021-06-01 06:52:44,57.79,-152.4072,45.91,93,90,4.61
226,Dingle,PH,2021-06-01 06:52:45,10.9995,122.6711,79.48,89,100,7.74
227,Kavaratti,IN,2021-06-01 06:52:45,10.5669,72.642,83.03,78,100,20.38
228,Lesnoye,RU,2021-06-01 06:52:45,58.2841,35.5158,56.37,38,8,5.55
229,Worthington,US,2021-06-01 06:52:46,40.0931,-83.018,57.34,83,1,0.0
230,Laguna,US,2021-06-01 06:52:46,38.421,-121.4238,85.82,48,1,1.99
231,Santiago De Cao,PE,2021-06-01 06:52:46,-7.9589,-79.2392,64.4,93,84,9.51
232,Mandalgovi,MN,2021-06-01 06:51:20,45.7625,106.2708,39.54,78,100,9.95
233,Bethel,US,2021-06-01 06:52:47,41.3712,-73.414,53.92,90,1,3.44
234,Severo-Kurilsk,RU,2021-06-01 06:52:48,50.6789,156.125,37.74,97,100,9.28
235,Kavieng,PG,2021-06-01 06:52:48,-2.5744,150.7967,81.34,78,100,8.43
236,Shakawe,BW,2021-06-01 06:52:48,-18.3667,21.85,65.88,26,0,2.39
237,Maceio,BR,2021-06-01 06:52:49,-9.6658,-35.7353,72.84,100,75,3.83
238,Avera,US,2021-06-01 06:52:49,33.194,-82.5271,64.06,88,76,4.85
239,Tuatapere,NZ,2021-06-01 06:52:49,-46.1333,167.6833,49.82,89,92,4.05
240,Kingaroy,AU,2021-06-01 06:52:50,-26.5333,151.8333,68.04,49,87,5.75
241,Mount Isa,AU,2021-06-01 06:52:50,-20.7333,139.5,82.17,32,75,6.91
242,Damaturu,NG,2021-06-01 06:52:51,11.747,11.9608,83.12,52,5,17.94
243,Carutapera,BR,2021-06-01 06:52:51,-1.195,-46.02,74.5,94,15,4.56
244,Safaga,EG,2021-06-01 06:52:52,26.7292,33.9365,89.55,43,0,16.55
245,Dolores,AR,2021-06-01 06:52:52,-36.3132,-57.6792,55.45,72,100,8.93
246,Ayan,RU,2021-06-01 06:52:53,56.45,138.1667,41.14,88,62,1.79
247,Buraydah,SA,2021-06-01 06:52:24,26.326,43.975,97.25,9,0,10.94
248,Kuala Terengganu,MY,2021-06-01 06:52:53,5.3302,103.1408,89.55,74,40,8.05
249,Nanortalik,GL,2021-06-01 06:52:53,60.1432,-45.2371,38.25,90,17,10.74
